---,CPU
2021-07-01 10:02:02
13871081,인텔 코어i9-10세대 10900K (코멧레이크S),"정품_535,450 병행수입박스_565,440 벌크+쿨러_553,820 벌크_550,820 해외구매_655,010 "
13537793,인텔 코어i5-10세대 10500 (코멧레이크S),"정품_338,690 병행수입박스_778,620 벌크+쿨러_211,390 벌크_207,120 해외구매_318,000 중고_280,000 "
13192703,인텔 코어i9-10세대 10900 (코멧레이크S),"정품_460,670 병행수입박스_504,070 벌크+쿨러_467,220 벌크_474,420 해외구매_508,890 중고_일시품절 "
12660791,인텔 코어i7-10세대 10700K (코멧레이크S),"정품_359,410 병행수입박스_409,510 벌크+쿨러_363,440 벌크_362,410 해외구매_443,120 "
12625094,AMD 라이젠3-3세대 3300X (마티스),"정품_158,000 멀티팩_129,130 해외구매_177,660 "
12337217,인텔 코어i7-10세대 10700 (코멧레이크S),"정품_389,890 병행수입박스_424,540 벌크+쿨러_344,020 벌크_332,300 해외구매_376,110 "
12336782,인텔 코어i5-10세대 10600 (코멧레이크S),"정품_348,320 벌크+쿨러_일시품절 벌크_329,000 해외구매_376,000 "
12336347,인텔 코어i5-10세대 10400 (코멧레이크S),"정품_204,250 병행수입박스_218,160 벌크+쿨러_193,440 벌크_194,880 해외구매_203,300 "
12336056,인텔 코어i3-10세대 10100 (코멧레이크S),"정품_215,580 벌크+쿨러_135,520 벌크_132,020 해외구매_182,540 "
12335777,인텔 셀러론 G5900 (코멧레이크S),"벌크+쿨러_124,200 벌크_100,000 해외구매_88,900 "
12335654,인텔 펜티엄 골드 G6400 (코멧레이크S),"정품_90,000 병행수입박스_일시품절 벌크+쿨러_81,300 벌크_76,000 해외구매_114,750 "
12200864,AMD 라이젠3-3세대 3100 (마티스),"정품_199,300 해외구매_207,170 "
11134854,인텔 코어i5-9세대 9400 (커피레이크-R),"정품_199,330 병행수입박스_204,180 벌크+쿨러_198,100 벌크_195,260 해외구매_325,210 "
10518636,AMD 라이젠 스레드리퍼 3990X (캐슬 픽),"정품_5,180,010 "
13540112,인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크),"정품_1,260,000 벌크_1,190,430 "
12749036,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),"정품_902,690 벌크_887,580 해외구매_1,310,200 "
12748961,인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),"정품_825,000 벌크_791,270 해외구매_996,000 "
12748922,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),"정품_685,430 병행수입박스_702,850 벌크_662,540 해외구매_1,005,900 "
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),"정품_3,500,000 해외구매_2,759,860 "
12340073,AMD 라이젠5-3세대 3500 (마티스),"멀티팩_132,730 해외구매_281,050 "
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"정품_1,980,810 해외구매_1,927,100 "
11026701,AMD 라이젠9-3세대 3950X (마티스),"정품_1,048,800 해외구매_882,130 "
11025336,AMD 애슬론 3000G (레이븐 릿지),"정품_75,000 해외구매_110,490 "
9736854,AMD EPYC 7232P (롬),"정품_1,672,950 "
9736833,AMD EPYC 7262 (롬),"정품_2,130,330 "
9736752,AMD EPYC 7302 (롬),"정품_3,641,700 "
9736716,AMD EPYC 7352 (롬),"정품_2,450,000 "
9736680,AMD EPYC 7452 (롬),"정품_7,360,450 "
9736638,AMD EPYC 7542 (롬),"정품_6,250,000 "
9736602,AMD EPYC 7642 (롬),"정품_8,720,000 "
9736071,AMD EPYC 7742 (롬),"정품_14,080,000 "
7271425,인텔 제온 E 2124G (커피레이크),"정품_632,800 "
12744083,AMD 라이젠5-3세대 3500X (마티스),"멀티팩_152,940 벌크_168,990 해외구매_214,530 "
12111233,인텔 제온 E 2224 (커피레이크-R),"정품_264,770 벌크+쿨러_280,000 벌크_일시품절 "
11084403,인텔 코어i3-9세대 9100 (커피레이크-R),"정품_183,750 벌크+쿨러_143,100 벌크_140,030 해외구매_230,050 "
9794256,인텔 코어i9-9세대 9900KS (커피레이크-R),"정품_1,555,450 "
9736800,AMD EPYC 7272 (롬),"정품_1,210,000 "
12625265,AMD 라이젠5-4세대 5600X (버미어),"정품_334,630 멀티팩_311,010 벌크_321,300 해외구매_559,220 "
12836186,AMD 라이젠7-4세대 5800X (버미어),"정품_459,000 멀티팩_445,670 벌크_448,990 해외구매_510,410 "
13619846,인텔 코어i5-11세대 11400 (로켓레이크S),"정품_248,840 병행수입박스_일시품절 벌크+쿨러_238,420 벌크_241,780 해외구매_281,900 "
10861092,AMD 라이젠5-3세대 3600 (마티스),"정품_252,950 멀티팩_194,140 벌크_193,590 해외구매_215,000 중고_200,000 "
13619990,인텔 코어i7-11세대 11700K (로켓레이크S),"정품_411,610 벌크+쿨러_427,500 벌크_418,580 해외구매_547,490 "
11489973,인텔 코어i5-10세대 10400F (코멧레이크S),"정품_167,320 병행수입박스_179,400 벌크+쿨러_170,940 벌크_164,950 해외구매_227,000 중고_336,480 "
12622091,AMD 라이젠9-4세대 5900X (버미어),"정품_647,000 멀티팩_641,520 해외구매_965,800 "
13619981,인텔 코어i7-11세대 11700 (로켓레이크S),"정품_409,640 병행수입박스_451,880 벌크+쿨러_399,460 벌크_395,820 해외구매_465,170 "
11876290,AMD 라이젠3 PRO 4350G (르누아르),"멀티팩_199,000 "
11308485,인텔 코어i7-10세대 10700K (코멧레이크S),"정품_359,410 병행수입박스_409,510 벌크+쿨러_363,440 벌크_362,410 해외구매_443,120 "
11646593,인텔 코어i7-10세대 10700F (코멧레이크S),"정품_314,350 병행수입박스_314,410 벌크+쿨러_323,420 벌크_321,520 해외구매_360,490 "
12622319,AMD 라이젠9-4세대 5950X (버미어),"정품_947,530 해외구매_1,327,850 "
11876443,AMD 라이젠5 PRO 4650G (르누아르),"멀티팩_263,770 "
11405337,인텔 코어i3-10세대 10100 (코멧레이크S),"정품_215,580 벌크+쿨러_135,520 벌크_132,020 해외구매_182,540 "
13619897,인텔 코어i5-11세대 11500 (로켓레이크S),"정품_242,860 벌크+쿨러_245,330 벌크_242,890 해외구매_413,770 "
13620026,인텔 코어i9-11세대 11900K (로켓레이크S),"정품_657,840 병행수입박스_681,090 벌크+쿨러_669,460 벌크_666,330 "
9968202,AMD 애슬론 3000G (레이븐 릿지),"정품_75,000 해외구매_110,490 "
11308551,인텔 코어i5-10세대 10400 (코멧레이크S),"정품_204,250 병행수입박스_218,160 벌크+쿨러_193,440 벌크_194,880 해외구매_203,300 "
10002339,AMD 라이젠5-3세대 3500 (마티스),"멀티팩_132,730 해외구매_281,050 "
12625094,AMD 라이젠3-3세대 3300X (마티스),"정품_158,000 멀티팩_129,130 해외구매_177,660 "
9421629,AMD 라이젠7-3세대 3700X (마티스),"정품_317,900 멀티팩_295,000 해외구매_338,710 "
8460291,AMD 라이젠3-2세대 3200G (피카소),"정품_145,000 멀티팩_148,800 해외구매_163,990 "
13753334,인텔 코어i3-10세대 10105F (코멧레이크S 리프레시),"정품_91,320 병행수입박스_122,800 벌크+쿨러_92,500 벌크_89,410 해외구매_203,140 "
11876521,AMD 라이젠7 PRO 4750G (르누아르),"멀티팩_398,000 "
13753394,인텔 코어i5-11세대 11400F (로켓레이크S),"정품_243,360 병행수입박스_일시품절 벌크+쿨러_217,380 벌크_211,520 해외구매_258,590 "
13619939,인텔 코어i5-11세대 11600K (로켓레이크S),"정품_286,870 벌크+쿨러_304,500 벌크_299,260 해외구매_348,240 "
9686475,AMD 라이젠5-3세대 3500X (마티스),"멀티팩_152,940 벌크_168,990 해외구매_214,530 "
12487424,인텔 코어i3-10세대 10100F (코멧레이크S),"정품_100,810 병행수입박스_132,500 벌크+쿨러_101,820 벌크_96,940 해외구매_159,670 "
11405586,인텔 코어i7-10세대 10700 (코멧레이크S),"정품_389,890 병행수입박스_424,540 벌크+쿨러_344,020 벌크_332,300 해외구매_376,110 "
11405214,인텔 펜티엄 골드 G6400 (코멧레이크S),"정품_90,000 병행수입박스_일시품절 벌크+쿨러_81,300 벌크_76,000 해외구매_114,750 "
7059166,인텔 코어i5-9세대 9400F (커피레이크-R),"정품_155,260 병행수입박스_171,400 벌크+쿨러_160,100 벌크_156,780 해외구매_211,610 중고_146,930 "
11305233,인텔 코어i9-10세대 10900K (코멧레이크S),"정품_535,450 병행수입박스_565,440 벌크+쿨러_553,820 벌크_550,820 해외구매_655,010 "
13620002,인텔 코어i9-11세대 11900 (로켓레이크S),"정품_488,350 벌크+쿨러_502,610 벌크_514,960 해외구매_1,126,500 "
6066396,AMD 라이젠5-2세대 2600 (피나클 릿지),"정품_169,210 해외구매_204,120 "
11134854,인텔 코어i5-9세대 9400 (커피레이크-R),"정품_199,330 병행수입박스_204,180 벌크+쿨러_198,100 벌크_195,260 해외구매_325,210 "
10187988,인텔 코어X-시리즈 i9-10940X (캐스케이드레이크),"정품_902,690 벌크_887,580 해외구매_1,310,200 "
6020667,인텔 코어i5-8세대 8500 (커피레이크),"정품_316,000 벌크+쿨러_217,830 벌크_212,680 해외구매_359,850 중고_194,040 "
11405664,인텔 코어i9-10세대 10900 (코멧레이크S),"정품_460,670 병행수입박스_504,070 벌크+쿨러_467,220 벌크_474,420 해외구매_508,890 중고_일시품절 "
11593217,인텔 코어i7-10세대 10700KF (코멧레이크S),"정품_337,940 병행수입박스_367,070 벌크+쿨러_343,380 벌크_340,440 해외구매_408,850 중고_345,000 "
11593361,인텔 코어i9-10세대 10900KF (코멧레이크S),"정품_505,870 벌크+쿨러_519,160 병행수입박스_526,590 벌크_516,080 해외구매_652,000 "
11756552,AMD 라이젠7-3세대 3800XT (마티스),"정품_360,330 해외구매_558,940 중고_365,000 "
12122969,인텔 셀러론 G5905 (코멧레이크S),"정품_48,620 병행수입박스_49,490 벌크+쿨러_47,780 벌크_44,810 해외구매_85,980 "
13619930,인텔 코어i5-11세대 11600 (로켓레이크S),"정품_303,080 벌크+쿨러_307,600 벌크_298,380 해외구매_530,160 "
11430906,인텔 코어i5-10세대 10600K (코멧레이크S),"정품_289,790 병행수입박스_일시품절 벌크+쿨러_299,850 벌크_309,950 해외구매_294,620 중고_270,000 "
5530013,인텔 코어i7-8세대 8700 (커피레이크),"정품_513,150 병행수입박스_498,320 벌크+쿨러_359,240 벌크_355,240 해외구매_일시품절 중고_333,500 "
6522496,AMD 애슬론 200GE (레이븐 릿지),"정품_66,650 해외구매_93,590 "
11593289,인텔 코어i9-10세대 10900F (코멧레이크S),"정품_462,930 병행수입박스_472,760 벌크+쿨러_446,880 벌크_443,880 해외구매_523,450 "
7559767,인텔 코어i9-9세대 9900KF (커피레이크-R),"정품_451,150 병행수입박스_일시품절 벌크+쿨러_343,140 벌크_340,050 해외구매_542,010 "
8459781,AMD 라이젠7-3세대 3800X (마티스),"정품_433,070 해외구매_516,140 "
8062711,인텔 코어i7-9세대 9700F (커피레이크-R),"정품_296,630 병행수입박스_310,250 벌크+쿨러_291,010 벌크_290,410 해외구매_365,800 "
6515603,인텔 코어i7-9세대 9700K (커피레이크-R),"정품_426,000 병행수입박스_358,040 벌크+쿨러_349,830 벌크_336,090 해외구매_418,420 중고_360,000 "
11991320,인텔 코어i5-10세대 10600KF (코멧레이크S),"정품_271,000 병행수입박스_일시품절 벌크+쿨러_241,980 벌크_238,950 해외구매_272,280 "
8428929,인텔 코어i7-9세대 9700 (커피레이크-R),"정품_310,800 병행수입박스_314,890 벌크+쿨러_294,530 벌크_287,510 해외구매_418,110 중고_310,000 "
8464689,AMD 라이젠5-2세대 3400G (피카소),"정품_376,000 멀티팩_194,620 해외구매_240,000 "
10072065,인텔 코어X-시리즈 i9-10900X (캐스케이드레이크),"정품_685,430 병행수입박스_702,850 벌크_662,540 해외구매_1,005,900 "
6515620,인텔 코어i5-9세대 9600K (커피레이크-R),"정품_251,370 병행수입박스_222,690 벌크+쿨러_221,780 벌크_218,740 해외구매_293,930 중고_231,170 "
9374721,AMD 라이젠9-3세대 3900X (마티스),"정품_543,600 멀티팩_554,130 해외구매_665,070 "
8459925,AMD 라이젠5-3세대 3600X (마티스),"정품_321,340 해외구매_323,950 "
7914736,인텔 코어i3-9세대 9100F (커피레이크-R),"정품_120,620 병행수입박스_131,110 벌크+쿨러_108,900 벌크_112,620 해외구매_159,350 중고_132,000 "
7565248,인텔 코어i5-9세대 9600KF (커피레이크-R),"정품_251,760 병행수입박스_199,500 벌크+쿨러_212,830 벌크_252,990 해외구매_406,400 "
11756438,AMD 라이젠5-3세대 3600XT (마티스),"정품_336,480 해외구매_332,410 "
8799590,인텔 펜티엄 골드 G5420 (커피레이크-R),"정품_80,480 병행수입박스_일시품절 벌크+쿨러_84,000 벌크_80,900 해외구매_128,200 "
10142334,인텔 코어X-시리즈 i9-10980XE Extreme Edition (캐스케이드레이크),"정품_1,260,000 벌크_1,190,430 "
9437157,인텔 셀러론 G4930 (커피레이크-R),"정품_53,420 병행수입박스_57,000 벌크+쿨러_49,700 벌크_46,600 해외구매_83,840 "
7517686,인텔 코어i7-9세대 9700KF (커피레이크-R),"정품_387,000 병행수입박스_462,650 벌크+쿨러_466,000 벌크_463,150 해외구매_309,700 "
12151730,인텔 코어i7-10세대 10700K 어벤져스 에디션 (코멧레이크S),"정품_377,280 "
9996756,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),"정품_3,500,000 해외구매_2,759,860 "
13753448,인텔 코어i5-11세대 11600KF (로켓레이크S),"정품_276,430 벌크+쿨러_274,240 벌크_271,390 해외구매_502,080 "
10032045,인텔 코어X-시리즈 i9-10920X (캐스케이드레이크),"정품_825,000 벌크_791,270 해외구매_996,000 "
6515580,인텔 코어i9-9세대 9900K (커피레이크-R),"정품_597,120 병행수입박스_413,630 벌크+쿨러_414,460 벌크_403,860 해외구매_585,310 "
8857298,인텔 코어i5-9세대 9600 (커피레이크-R),"정품_261,140 병행수입박스_279,070 벌크+쿨러_259,550 벌크_257,320 해외구매_490,070 "
6467045,AMD 라이젠 스레드리퍼 2950X (콜팩스),"정품_758,970 해외구매_887,000 "
6746872,인텔 코어X-시리즈 i9-9920X (스카이레이크),"정품_706,200 벌크_715,900 "
12151862,인텔 코어i9-10세대 10900K 어벤져스 에디션 (코멧레이크S),"정품_770,000 "
11405430,인텔 코어i5-10세대 10500 (코멧레이크S),"정품_338,690 병행수입박스_778,620 벌크+쿨러_211,390 벌크_207,120 해외구매_318,000 중고_280,000 "
9996480,AMD 라이젠9-3세대 3950X (마티스),"정품_1,048,800 해외구매_882,130 "
9790773,인텔 코어i3-9세대 9100 (커피레이크-R),"정품_183,750 벌크+쿨러_143,100 벌크_140,030 해외구매_230,050 "
5529981,인텔 코어i7-8세대 8700K (커피레이크),"정품_890,000 병행수입박스_409,000 벌크+쿨러_444,030 벌크_455,410 해외구매_490,000 중고_333,500 "
11405469,인텔 코어i5-10세대 10600 (코멧레이크S),"정품_348,320 벌크+쿨러_일시품절 벌크_329,000 해외구매_376,000 "
9996723,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"정품_1,980,810 해외구매_1,927,100 "
11756642,AMD 라이젠9-3세대 3900XT (마티스),"정품_690,760 해외구매_716,000 "
9321711,인텔 코어i9-9세대 9900 (커피레이크-R),"정품_599,990 병행수입박스_400,680 벌크+쿨러_416,030 벌크_412,720 해외구매_667,900 "
6066337,AMD 라이젠7-2세대 2700X (피나클 릿지),"정품_460,000 해외구매_377,360 중고_209,900 "
4370096,인텔 제온 E5-2630 v4 (브로드웰-EP),"정품_895,710 "
6052852,인텔 셀러론 G4900 (커피레이크),"정품_107,720 벌크+쿨러_100,000 벌크_238,050 해외구매_116,860 "
11236047,AMD 라이젠3-3세대 3100 (마티스),"정품_199,300 해외구매_207,170 "
5530356,인텔 코어i5-8세대 8400 (커피레이크),"정품_440,000 병행수입박스_일시품절 벌크+쿨러_226,120 벌크_250,000 해외구매_392,400 중고_182,410 "
5530456,인텔 코어i3-8세대 8100 (커피레이크),"정품_219,790 병행수입박스_320,440 벌크+쿨러_345,820 벌크_263,080 "
12151829,인텔 코어i9-10세대 10850K 어벤져스 에디션 (코멧레이크S),"정품_548,000 "
11772943,인텔 코어i3-10세대 10300 (코멧레이크S),"정품_220,240 벌크_400,000 해외구매_324,360 "
8170126,인텔 코어i5-9세대 9500F (커피레이크-R),"정품_215,000 병행수입박스_180,810 벌크+쿨러_166,380 벌크_163,070 "
4828993,인텔 셀러론 G3930 (카비레이크),"정품_160,000 벌크+쿨러_140,000 벌크_560,850 해외구매_107,610 중고_81,050 "
4929434,AMD 라이젠7-1세대 1700X (서밋 릿지),"정품_403,210 멀티팩_519,400 해외구매_202,500 중고_166,450 "
6066419,AMD 라이젠5-2세대 2600X (피나클 릿지),"정품_342,630 해외구매_247,300 "
8857244,인텔 코어i5-9세대 9500 (커피레이크-R),"정품_325,500 벌크+쿨러_214,800 벌크_213,630 해외구매_406,390 "
6066361,AMD 라이젠7-2세대 2700 (피나클 릿지),"정품_549,450 해외구매_234,900 "
6929425,인텔 코어X-시리즈 i9-9940X (스카이레이크),"정품_1,350,000 해외구매_918,000 "
6385810,AMD 라이젠 스레드리퍼 2990WX (콜팩스),"정품_4,079,200 해외구매_2,052,560 "
12151715,인텔 코어i5-10세대 10600K 어벤져스 에디션 (코멧레이크S),"정품_308,490 "
5448913,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),"정품_548,500 해외구매_470,900 "
6035740,인텔 셀러론 G4920 (커피레이크),"정품_100,000 벌크_238,050 해외구매_124,150 "
5681639,인텔 코어X-시리즈 i9-7980XE Extreme Edition (스카이레이크),"정품_2,518,070 해외구매_5,108,430 "
4370066,인텔 제온 E5-2620 v4 (브로드웰-EP),"정품_560,570 "
6020678,인텔 코어i5-8세대 8600 (커피레이크),"정품_320,000 병행수입박스_346,500 벌크_230,000 "
6746998,인텔 코어X-시리즈 i7-9800X (스카이레이크),"정품_960,740 해외구매_608,270 "
6035711,인텔 펜티엄 골드 G5500 (커피레이크),"정품_178,890 벌크_238,050 해외구매_214,390 "
6929551,인텔 코어X-시리즈 i9-9980XE (스카이레이크),"정품_2,543,650 해외구매_1,566,240 "
6929497,인텔 코어X-시리즈 i9-9960X (스카이레이크),"정품_1,948,450 해외구매_1,300,000 "
5530421,인텔 코어i5-8세대 8600K (커피레이크),"정품_430,000 벌크+쿨러_200,000 벌크_일시품절 "
6835381,AMD 라이젠 스레드리퍼 2970WX (콜팩스),"정품_1,756,800 해외구매_1,586,400 "
5557225,인텔 코어X-시리즈 i9-7920X (스카이레이크),"정품_1,257,400 해외구매_635,180 "
9794256,인텔 코어i9-9세대 9900KS (커피레이크-R),"정품_1,555,450 "
6782926,인텔 코어X-시리즈 i9-9820X (스카이레이크),"정품_2,486,220 해외구매_858,000 "
6035613,인텔 펜티엄 골드 G5600 (커피레이크),"정품_146,140 "
3588870,인텔 제온 E3-1220V5 (스카이레이크),"정품_599,080 "
6746932,인텔 코어X-시리즈 i9-9900X (스카이레이크),"정품_1,000,000 "
3589305,인텔 제온 E3-1270V5 (스카이레이크),"정품_525,360 "
3600623,인텔 제온 E3-1245V5 (스카이레이크),"정품_857,600 "
13753598,인텔 코어i7-11세대 11700KF (로켓레이크S),"정품_405,520 벌크+쿨러_412,080 벌크_410,030 해외구매_1,373,800 "
14000321,인텔 펜티엄 골드 G6405 (코멧레이크S 리프레시),"정품_87,290 벌크+쿨러_76,700 벌크_73,600 "
13753673,인텔 코어i9-11세대 11900F (로켓레이크S),"정품_448,050 벌크+쿨러_458,270 벌크_455,490 해외구매_1,084,860 "
13753718,인텔 코어i9-11세대 11900KF (로켓레이크S),"정품_600,670 벌크+쿨러_648,600 벌크_656,950 "
14409386,인텔 코어i3-10세대 10105 (코멧레이크S 리프레시),"정품_164,020 병행수입박스_203,910 벌크+쿨러_138,110 벌크_135,020 "
13811552,AMD 라이젠3-2세대 3200GE (피카소),"멀티팩_185,000 "
7468294,인텔 코어i5-6세대 6600 (스카이레이크),"벌크+쿨러_264,650 벌크_153,000 중고_122,050 "
13753481,인텔 코어i7-11세대 11700F (로켓레이크S),"정품_395,180 벌크+쿨러_374,100 벌크_374,050 해외구매_682,630 "
10518636,AMD 라이젠 스레드리퍼 3990X (캐슬 픽),"정품_5,180,010 "
13491257,AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W),"정품_1,436,980 "
9652455,인텔 제온 E 2224 (커피레이크-R),"정품_264,770 벌크+쿨러_280,000 벌크_일시품절 "
6112722,인텔 코어i7-4세대 4790 (하스웰 리프레시),"중고_128,260 "
4197696,인텔 코어i3-6세대 6100 (스카이레이크),"중고_107,730 "
13491266,AMD 라이젠 스레드리퍼 PRO 3995WX (캐슬 픽-W),"정품_7,005,210 "
14549231,인텔 셀러론 G5905T (코멧레이크S),정품_가격비교예정 
7894294,인텔 코어i5-7세대 7500 (카비레이크),"벌크+쿨러_171,810 벌크_172,000 해외구매_397,300 중고_155,000 "
12596540,인텔 코어i9-10세대 10850K (코멧레이크S),"정품_484,980 벌크+쿨러_472,820 벌크_470,120 해외구매_570,370 "
4143917,AMD FX 8300 (비쉐라),"중고_54,900 "
13491263,AMD 라이젠 스레드리퍼 PRO 3975WX (캐슬 픽-W),"정품_3,441,770 "
